'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'15:00.000',-0.160,-0.340
'15:00.003',-0.165,-0.350
'15:00.006',-0.160,-0.365
'15:00.008',-0.170,-0.355
'15:00.011',-0.185,-0.355
'15:00.014',-0.185,-0.350
'15:00.017',-0.185,-0.345
'15:00.019',-0.190,-0.325
'15:00.022',-0.185,-0.320
'15:00.025',-0.180,-0.325
'15:00.028',-0.190,-0.330
'15:00.031',-0.195,-0.335
'15:00.033',-0.220,-0.345
'15:00.036',-0.220,-0.345
'15:00.039',-0.230,-0.350
'15:00.042',-0.235,-0.345
'15:00.044',-0.260,-0.335
'15:00.047',-0.265,-0.325
'15:00.050',-0.275,-0.310
'15:00.053',-0.285,-0.310
'15:00.056',-0.275,-0.300
'15:00.058',-0.270,-0.310
'15:00.061',-0.270,-0.295
'15:00.064',-0.255,-0.310
'15:00.067',-0.275,-0.315
'15:00.069',-0.290,-0.315
'15:00.072',-0.290,-0.320
'15:00.075',-0.305,-0.320
'15:00.078',-0.295,-0.320
'15:00.081',-0.290,-0.315
'15:00.083',-0.280,-0.300
'15:00.086',-0.265,-0.310
'15:00.089',-0.245,-0.300
'15:00.092',-0.260,-0.305
'15:00.094',-0.255,-0.305
'15:00.097',-0.270,-0.300
'15:00.100',-0.280,-0.305
'15:00.103',-0.325,-0.315
'15:00.106',-0.340,-0.310
'15:00.108',-0.370,-0.310
'15:00.111',-0.365,-0.310
'15:00.114',-0.330,-0.315
'15:00.117',-0.245,-0.325
'15:00.119',-0.130,-0.355
'15:00.122',0.030,-0.395
'15:00.125',0.220,-0.450
'15:00.128',0.455,-0.495
'15:00.131',0.690,-0.520
'15:00.133',0.890,-0.515
'15:00.136',1.005,-0.475
'15:00.139',0.975,-0.420
'15:00.142',0.795,-0.345
'15:00.144',0.490,-0.290
'15:00.147',0.180,-0.225
'15:00.150',-0.090,-0.180
'15:00.153',-0.260,-0.185
'15:00.156',-0.305,-0.200
'15:00.158',-0.275,-0.245
'15:00.161',-0.210,-0.290
'15:00.164',-0.170,-0.340
'15:00.167',-0.155,-0.360
'15:00.169',-0.150,-0.375
'15:00.172',-0.170,-0.370
'15:00.175',-0.195,-0.345
'15:00.178',-0.215,-0.335
'15:00.181',-0.235,-0.330
'15:00.183',-0.245,-0.320
'15:00.186',-0.250,-0.300
'15:00.189',-0.240,-0.300
'15:00.192',-0.240,-0.300
'15:00.194',-0.235,-0.300
'15:00.197',-0.240,-0.310
'15:00.200',-0.250,-0.305
'15:00.203',-0.265,-0.305
'15:00.206',-0.265,-0.320
'15:00.208',-0.265,-0.305
'15:00.211',-0.260,-0.305
'15:00.214',-0.255,-0.295
'15:00.217',-0.245,-0.295
'15:00.219',-0.245,-0.290
'15:00.222',-0.235,-0.290
'15:00.225',-0.235,-0.305
'15:00.228',-0.235,-0.315
'15:00.231',-0.230,-0.305
'15:00.233',-0.230,-0.315
'15:00.236',-0.225,-0.330
'15:00.239',-0.235,-0.330
'15:00.242',-0.235,-0.335
'15:00.244',-0.245,-0.320
'15:00.247',-0.250,-0.310
'15:00.250',-0.250,-0.305
'15:00.253',-0.240,-0.300
'15:00.256',-0.240,-0.285
'15:00.258',-0.235,-0.305
'15:00.261',-0.220,-0.300
'15:00.264',-0.225,-0.310
'15:00.267',-0.230,-0.315
'15:00.269',-0.225,-0.330
'15:00.272',-0.230,-0.335
'15:00.275',-0.235,-0.335
'15:00.278',-0.240,-0.325
'15:00.281',-0.235,-0.320
'15:00.283',-0.225,-0.315
'15:00.286',-0.220,-0.325
'15:00.289',-0.220,-0.320
'15:00.292',-0.215,-0.325
'15:00.294',-0.215,-0.320
'15:00.297',-0.215,-0.330
'15:00.300',-0.215,-0.335
'15:00.303',-0.215,-0.345
'15:00.306',-0.220,-0.350
'15:00.308',-0.220,-0.345
'15:00.311',-0.225,-0.345
'15:00.314',-0.225,-0.335
'15:00.317',-0.205,-0.330
'15:00.319',-0.200,-0.325
'15:00.322',-0.190,-0.320
'15:00.325',-0.200,-0.330
'15:00.328',-0.195,-0.325
'15:00.331',-0.200,-0.330
'15:00.333',-0.205,-0.340
'15:00.336',-0.215,-0.350
'15:00.339',-0.220,-0.350
'15:00.342',-0.220,-0.355
'15:00.344',-0.210,-0.345
'15:00.347',-0.210,-0.330
'15:00.350',-0.205,-0.340
'15:00.353',-0.200,-0.335
'15:00.356',-0.195,-0.340
'15:00.358',-0.200,-0.350
'15:00.361',-0.190,-0.345
'15:00.364',-0.200,-0.360
'15:00.367',-0.200,-0.360
'15:00.369',-0.200,-0.370
'15:00.372',-0.215,-0.375
'15:00.375',-0.215,-0.370
'15:00.378',-0.205,-0.365
'15:00.381',-0.180,-0.370
'15:00.383',-0.180,-0.355
'15:00.386',-0.170,-0.345
'15:00.389',-0.165,-0.345
'15:00.392',-0.165,-0.350
'15:00.394',-0.160,-0.350
'15:00.397',-0.165,-0.355
'15:00.400',-0.160,-0.365
'15:00.403',-0.165,-0.375
'15:00.406',-0.170,-0.375
'15:00.408',-0.160,-0.375
'15:00.411',-0.150,-0.370
'15:00.414',-0.145,-0.365
'15:00.417',-0.130,-0.355
'15:00.419',-0.120,-0.345
'15:00.422',-0.125,-0.350
'15:00.425',-0.125,-0.350
'15:00.428',-0.120,-0.360
'15:00.431',-0.125,-0.355
'15:00.433',-0.140,-0.350
'15:00.436',-0.150,-0.345
'15:00.439',-0.150,-0.360
'15:00.442',-0.170,-0.350
'15:00.444',-0.180,-0.335
'15:00.447',-0.180,-0.335
'15:00.450',-0.180,-0.325
'15:00.453',-0.175,-0.315
'15:00.456',-0.175,-0.305
'15:00.458',-0.180,-0.310
'15:00.461',-0.175,-0.300
'15:00.464',-0.195,-0.315
'15:00.467',-0.205,-0.310
'15:00.469',-0.210,-0.325
'15:00.472',-0.220,-0.325
'15:00.475',-0.230,-0.330
'15:00.478',-0.235,-0.320
'15:00.481',-0.225,-0.295
'15:00.483',-0.230,-0.290
'15:00.486',-0.225,-0.285
'15:00.489',-0.220,-0.275
'15:00.492',-0.220,-0.270
'15:00.494',-0.220,-0.270
'15:00.497',-0.225,-0.280
'15:00.500',-0.235,-0.290
'15:00.503',-0.245,-0.290
'15:00.506',-0.250,-0.305
'15:00.508',-0.255,-0.295
'15:00.511',-0.260,-0.285
'15:00.514',-0.250,-0.275
'15:00.517',-0.235,-0.280
'15:00.519',-0.225,-0.265
'15:00.522',-0.220,-0.265
'15:00.525',-0.220,-0.280
'15:00.528',-0.225,-0.270
'15:00.531',-0.230,-0.280
'15:00.533',-0.250,-0.285
'15:00.536',-0.250,-0.285
'15:00.539',-0.260,-0.305
'15:00.542',-0.260,-0.275
'15:00.544',-0.255,-0.285
'15:00.547',-0.250,-0.275
'15:00.550',-0.245,-0.280
'15:00.553',-0.240,-0.265
'15:00.556',-0.235,-0.265
'15:00.558',-0.240,-0.265
'15:00.561',-0.245,-0.265
'15:00.564',-0.250,-0.275
'15:00.567',-0.260,-0.280
'15:00.569',-0.260,-0.290
'15:00.572',-0.260,-0.290
'15:00.575',-0.275,-0.285
'15:00.578',-0.280,-0.290
'15:00.581',-0.275,-0.290
'15:00.583',-0.260,-0.265
'15:00.586',-0.260,-0.265
'15:00.589',-0.255,-0.250
'15:00.592',-0.250,-0.260
'15:00.594',-0.260,-0.270
'15:00.597',-0.270,-0.265
'15:00.600',-0.270,-0.275
'15:00.603',-0.270,-0.275
'15:00.606',-0.280,-0.300
'15:00.608',-0.285,-0.290
'15:00.611',-0.285,-0.285
'15:00.614',-0.270,-0.280
'15:00.617',-0.255,-0.260
'15:00.619',-0.245,-0.250
'15:00.622',-0.225,-0.250
'15:00.625',-0.220,-0.245
'15:00.628',-0.210,-0.240
'15:00.631',-0.210,-0.250
'15:00.633',-0.230,-0.245
'15:00.636',-0.215,-0.250
'15:00.639',-0.220,-0.255
'15:00.642',-0.230,-0.245
'15:00.644',-0.215,-0.255
'15:00.647',-0.200,-0.250
'15:00.650',-0.190,-0.250
'15:00.653',-0.175,-0.270
'15:00.656',-0.165,-0.275
'15:00.658',-0.175,-0.290
'15:00.661',-0.170,-0.285
'15:00.664',-0.195,-0.305
'15:00.667',-0.200,-0.305
'15:00.669',-0.215,-0.315
'15:00.672',-0.230,-0.325
'15:00.675',-0.225,-0.310
'15:00.678',-0.250,-0.300
'15:00.681',-0.235,-0.295
'15:00.683',-0.225,-0.295
'15:00.686',-0.235,-0.290
'15:00.689',-0.240,-0.280
'15:00.692',-0.230,-0.280
'15:00.694',-0.240,-0.280
'15:00.697',-0.255,-0.285
'15:00.700',-0.260,-0.285
'15:00.703',-0.285,-0.300
'15:00.706',-0.305,-0.300
'15:00.708',-0.320,-0.290
'15:00.711',-0.340,-0.280
'15:00.714',-0.335,-0.275
'15:00.717',-0.305,-0.265
'15:00.719',-0.300,-0.265
'15:00.722',-0.285,-0.265
'15:00.725',-0.280,-0.270
'15:00.728',-0.285,-0.245
'15:00.731',-0.285,-0.250
'15:00.733',-0.300,-0.265
'15:00.736',-0.310,-0.280
'15:00.739',-0.315,-0.285
'15:00.742',-0.330,-0.285
'15:00.744',-0.320,-0.280
'15:00.747',-0.320,-0.285
'15:00.750',-0.295,-0.275
'15:00.753',-0.300,-0.270
'15:00.756',-0.285,-0.260
'15:00.758',-0.300,-0.270
'15:00.761',-0.315,-0.255
'15:00.764',-0.340,-0.255
'15:00.767',-0.350,-0.260
'15:00.769',-0.350,-0.270
'15:00.772',-0.305,-0.290
'15:00.775',-0.225,-0.325
'15:00.778',-0.105,-0.360
'15:00.781',0.055,-0.405
'15:00.783',0.255,-0.440
'15:00.786',0.455,-0.460
'15:00.789',0.660,-0.460
'15:00.792',0.825,-0.455
'15:00.794',0.930,-0.420
'15:00.797',0.905,-0.385
'15:00.800',0.735,-0.330
'15:00.803',0.480,-0.265
'15:00.806',0.180,-0.215
'15:00.808',-0.080,-0.185
'15:00.811',-0.255,-0.185
'15:00.814',-0.315,-0.210
'15:00.817',-0.295,-0.250
'15:00.819',-0.225,-0.290
'15:00.822',-0.155,-0.310
'15:00.825',-0.130,-0.320
'15:00.828',-0.125,-0.325
'15:00.831',-0.140,-0.310
'15:00.833',-0.180,-0.305
'15:00.836',-0.210,-0.295
'15:00.839',-0.245,-0.295
'15:00.842',-0.270,-0.290
'15:00.844',-0.285,-0.295
'15:00.847',-0.280,-0.285
'15:00.850',-0.265,-0.270
'15:00.853',-0.260,-0.265
'15:00.856',-0.270,-0.270
'15:00.858',-0.265,-0.250
'15:00.861',-0.270,-0.265
'15:00.864',-0.285,-0.270
'15:00.867',-0.285,-0.285
'15:00.869',-0.295,-0.295
'15:00.872',-0.300,-0.295
'15:00.875',-0.300,-0.295
'15:00.878',-0.295,-0.285
'15:00.881',-0.295,-0.275
'15:00.883',-0.285,-0.265
'15:00.886',-0.285,-0.255
'15:00.889',-0.280,-0.255
'15:00.892',-0.275,-0.265
'15:00.894',-0.275,-0.270
'15:00.897',-0.265,-0.275
'15:00.900',-0.275,-0.275
'15:00.903',-0.280,-0.280
'15:00.906',-0.285,-0.285
