'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'6:00.000',-0.285,0.005
'6:00.003',-0.280,0.000
'6:00.006',-0.290,-0.040
'6:00.008',-0.300,-0.060
'6:00.011',-0.290,-0.045
'6:00.014',-0.280,-0.025
'6:00.017',-0.265,-0.020
'6:00.019',-0.260,-0.030
'6:00.022',-0.265,-0.040
'6:00.025',-0.265,-0.035
'6:00.028',-0.250,-0.030
'6:00.031',-0.240,0.000
'6:00.033',-0.235,0.005
'6:00.036',-0.230,0.000
'6:00.039',-0.230,-0.005
'6:00.042',-0.240,0.005
'6:00.044',-0.230,0.015
'6:00.047',-0.210,0.030
'6:00.050',-0.205,0.045
'6:00.053',-0.215,0.040
'6:00.056',-0.235,0.035
'6:00.058',-0.225,0.045
'6:00.061',-0.230,0.060
'6:00.064',-0.250,0.080
'6:00.067',-0.240,0.090
'6:00.069',-0.225,0.090
'6:00.072',-0.225,0.075
'6:00.075',-0.230,0.085
'6:00.078',-0.225,0.105
'6:00.081',-0.220,0.120
'6:00.083',-0.205,0.130
'6:00.086',-0.210,0.105
'6:00.089',-0.220,0.105
'6:00.092',-0.225,0.105
'6:00.094',-0.225,0.110
'6:00.097',-0.230,0.115
'6:00.100',-0.210,0.120
'6:00.103',-0.210,0.120
'6:00.106',-0.215,0.100
'6:00.108',-0.220,0.105
'6:00.111',-0.210,0.105
'6:00.114',-0.205,0.110
'6:00.117',-0.190,0.110
'6:00.119',-0.185,0.075
'6:00.122',-0.190,0.045
'6:00.125',-0.205,0.035
'6:00.128',-0.200,0.035
'6:00.131',-0.190,0.035
'6:00.133',-0.195,0.020
'6:00.136',-0.185,0.015
'6:00.139',-0.190,0.000
'6:00.142',-0.205,0.005
'6:00.144',-0.210,0.015
'6:00.147',-0.200,0.020
'6:00.150',-0.200,0.010
'6:00.153',-0.205,0.015
'6:00.156',-0.220,0.005
'6:00.158',-0.220,0.010
'6:00.161',-0.210,0.020
'6:00.164',-0.190,0.020
'6:00.167',-0.190,0.030
'6:00.169',-0.195,0.040
'6:00.172',-0.210,0.025
'6:00.175',-0.220,0.025
'6:00.178',-0.215,0.030
'6:00.181',-0.210,0.055
'6:00.183',-0.205,0.060
'6:00.186',-0.210,0.050
'6:00.189',-0.220,0.055
'6:00.192',-0.220,0.055
'6:00.194',-0.240,0.060
'6:00.197',-0.230,0.090
'6:00.200',-0.230,0.090
'6:00.203',-0.220,0.090
'6:00.206',-0.220,0.075
'6:00.208',-0.225,0.075
'6:00.211',-0.220,0.090
'6:00.214',-0.225,0.110
'6:00.217',-0.210,0.115
'6:00.219',-0.220,0.100
'6:00.222',-0.220,0.095
'6:00.225',-0.225,0.100
'6:00.228',-0.230,0.095
'6:00.231',-0.220,0.090
'6:00.233',-0.205,0.090
'6:00.236',-0.215,0.090
'6:00.239',-0.230,0.085
'6:00.242',-0.225,0.080
'6:00.244',-0.240,0.070
'6:00.247',-0.235,0.080
'6:00.250',-0.205,0.070
'6:00.253',-0.185,0.055
'6:00.256',-0.180,0.030
'6:00.258',-0.205,0.015
'6:00.261',-0.210,0.030
'6:00.264',-0.195,0.025
'6:00.267',-0.190,0.010
'6:00.269',-0.195,0.010
'6:00.272',-0.190,0.020
'6:00.275',-0.220,0.015
'6:00.278',-0.200,0.015
'6:00.281',-0.185,0.025
'6:00.283',-0.200,0.030
'6:00.286',-0.190,0.030
'6:00.289',-0.205,0.015
'6:00.292',-0.220,0.015
'6:00.294',-0.220,0.015
'6:00.297',-0.220,0.045
'6:00.300',-0.210,0.045
'6:00.303',-0.230,0.040
'6:00.306',-0.225,0.025
'6:00.308',-0.230,0.025
'6:00.311',-0.230,0.040
'6:00.314',-0.225,0.045
'6:00.317',-0.215,0.055
'6:00.319',-0.235,0.050
'6:00.322',-0.225,0.045
'6:00.325',-0.235,0.055
'6:00.328',-0.230,0.070
'6:00.331',-0.225,0.080
'6:00.333',-0.220,0.085
'6:00.336',-0.225,0.070
'6:00.339',-0.220,0.075
'6:00.342',-0.255,0.070
'6:00.344',-0.255,0.090
'6:00.347',-0.245,0.115
'6:00.350',-0.230,0.110
'6:00.353',-0.220,0.110
'6:00.356',-0.215,0.100
'6:00.358',-0.230,0.105
'6:00.361',-0.230,0.105
'6:00.364',-0.225,0.115
'6:00.367',-0.210,0.115
'6:00.369',-0.210,0.075
'6:00.372',-0.230,0.030
'6:00.375',-0.220,0.020
'6:00.378',-0.205,0.020
'6:00.381',-0.195,0.015
'6:00.383',-0.175,0.005
'6:00.386',-0.180,-0.005
'6:00.389',-0.185,-0.020
'6:00.392',-0.190,-0.010
'6:00.394',-0.200,0.010
'6:00.397',-0.190,0.025
'6:00.400',-0.160,0.005
'6:00.403',-0.105,-0.010
'6:00.406',-0.030,-0.035
'6:00.408',0.085,-0.060
'6:00.411',0.235,-0.075
'6:00.414',0.365,-0.105
'6:00.417',0.480,-0.145
'6:00.419',0.595,-0.180
'6:00.422',0.730,-0.190
'6:00.425',0.835,-0.240
'6:00.428',0.900,-0.260
'6:00.431',0.905,-0.285
'6:00.433',0.860,-0.305
'6:00.436',0.785,-0.300
'6:00.439',0.700,-0.285
'6:00.442',0.585,-0.240
'6:00.444',0.405,-0.180
'6:00.447',0.170,-0.115
'6:00.450',-0.010,-0.075
'6:00.453',-0.125,-0.050
'6:00.456',-0.160,-0.030
'6:00.458',-0.215,-0.010
'6:00.461',-0.250,0.020
'6:00.464',-0.285,0.045
'6:00.467',-0.295,0.065
'6:00.469',-0.315,0.060
'6:00.472',-0.320,0.055
'6:00.475',-0.330,0.065
'6:00.478',-0.340,0.080
'6:00.481',-0.340,0.100
'6:00.483',-0.340,0.095
'6:00.486',-0.340,0.090
'6:00.489',-0.355,0.070
'6:00.492',-0.355,0.075
'6:00.494',-0.350,0.090
'6:00.497',-0.360,0.090
'6:00.500',-0.335,0.105
'6:00.503',-0.375,0.090
'6:00.506',-0.365,0.080
'6:00.508',-0.370,0.070
'6:00.511',-0.360,0.070
'6:00.514',-0.350,0.060
'6:00.517',-0.350,0.060
'6:00.519',-0.345,0.050
'6:00.522',-0.365,0.050
'6:00.525',-0.370,0.040
'6:00.528',-0.365,0.065
'6:00.531',-0.365,0.075
'6:00.533',-0.340,0.075
'6:00.536',-0.340,0.065
'6:00.539',-0.330,0.055
'6:00.542',-0.360,0.060
'6:00.544',-0.360,0.070
'6:00.547',-0.350,0.085
'6:00.550',-0.350,0.090
'6:00.553',-0.350,0.070
'6:00.556',-0.360,0.065
'6:00.558',-0.360,0.055
'6:00.561',-0.360,0.080
'6:00.564',-0.360,0.075
'6:00.567',-0.350,0.080
'6:00.569',-0.355,0.080
'6:00.572',-0.360,0.075
'6:00.575',-0.380,0.065
'6:00.578',-0.390,0.080
'6:00.581',-0.370,0.085
'6:00.583',-0.355,0.095
'6:00.586',-0.365,0.070
'6:00.589',-0.370,0.060
'6:00.592',-0.390,0.060
'6:00.594',-0.395,0.080
'6:00.597',-0.380,0.095
'6:00.600',-0.370,0.095
'6:00.603',-0.360,0.095
'6:00.606',-0.380,0.085
'6:00.608',-0.385,0.075
'6:00.611',-0.380,0.080
'6:00.614',-0.380,0.110
'6:00.617',-0.360,0.095
'6:00.619',-0.355,0.100
'6:00.622',-0.370,0.070
'6:00.625',-0.375,0.065
'6:00.628',-0.370,0.055
'6:00.631',-0.370,0.055
'6:00.633',-0.365,0.060
'6:00.636',-0.365,0.060
'6:00.639',-0.385,0.040
'6:00.642',-0.380,0.055
'6:00.644',-0.370,0.070
'6:00.647',-0.345,0.080
'6:00.650',-0.340,0.080
'6:00.653',-0.335,0.075
'6:00.656',-0.345,0.050
'6:00.658',-0.345,0.045
'6:00.661',-0.330,0.040
'6:00.664',-0.315,0.055
'6:00.667',-0.295,0.055
'6:00.669',-0.295,0.040
'6:00.672',-0.290,0.045
'6:00.675',-0.290,0.025
'6:00.678',-0.280,0.050
'6:00.681',-0.265,0.055
'6:00.683',-0.245,0.065
'6:00.686',-0.225,0.060
'6:00.689',-0.235,0.055
'6:00.692',-0.245,0.055
'6:00.694',-0.225,0.080
'6:00.697',-0.200,0.090
'6:00.700',-0.185,0.080
'6:00.703',-0.190,0.065
'6:00.706',-0.185,0.065
'6:00.708',-0.185,0.060
'6:00.711',-0.200,0.075
'6:00.714',-0.180,0.090
'6:00.717',-0.165,0.090
'6:00.719',-0.180,0.085
'6:00.722',-0.185,0.065
'6:00.725',-0.195,0.070
'6:00.728',-0.195,0.075
'6:00.731',-0.180,0.080
'6:00.733',-0.195,0.085
'6:00.736',-0.195,0.075
'6:00.739',-0.195,0.070
'6:00.742',-0.215,0.070
'6:00.744',-0.200,0.105
'6:00.747',-0.200,0.095
'6:00.750',-0.185,0.100
'6:00.753',-0.190,0.095
'6:00.756',-0.205,0.100
'6:00.758',-0.220,0.100
'6:00.761',-0.210,0.115
'6:00.764',-0.210,0.140
'6:00.767',-0.200,0.145
'6:00.769',-0.215,0.130
'6:00.772',-0.230,0.125
'6:00.775',-0.240,0.135
'6:00.778',-0.255,0.140
'6:00.781',-0.245,0.155
'6:00.783',-0.225,0.160
'6:00.786',-0.240,0.140
'6:00.789',-0.250,0.120
'6:00.792',-0.255,0.080
'6:00.794',-0.245,0.055
'6:00.797',-0.210,0.065
'6:00.800',-0.210,0.060
'6:00.803',-0.205,0.055
'6:00.806',-0.215,0.035
'6:00.808',-0.215,0.030
'6:00.811',-0.210,0.040
'6:00.814',-0.195,0.040
'6:00.817',-0.200,0.040
'6:00.819',-0.185,0.020
'6:00.822',-0.195,0.010
'6:00.825',-0.200,0.015
'6:00.828',-0.205,0.025
'6:00.831',-0.185,0.035
'6:00.833',-0.175,0.040
'6:00.836',-0.180,0.030
'6:00.839',-0.185,0.025
'6:00.842',-0.180,0.025
'6:00.844',-0.170,0.045
'6:00.847',-0.165,0.065
'6:00.850',-0.150,0.050
'6:00.853',-0.150,0.045
'6:00.856',-0.155,0.040
'6:00.858',-0.175,0.045
'6:00.861',-0.185,0.055
'6:00.864',-0.165,0.070
'6:00.867',-0.150,0.060
'6:00.869',-0.150,0.045
'6:00.872',-0.160,0.035
'6:00.875',-0.180,0.035
'6:00.878',-0.195,0.050
'6:00.881',-0.180,0.060
'6:00.883',-0.170,0.055
'6:00.886',-0.175,0.045
'6:00.889',-0.200,0.040
'6:00.892',-0.210,0.035
'6:00.894',-0.220,0.055
'6:00.897',-0.195,0.050
'6:00.900',-0.195,0.060
'6:00.903',-0.195,0.065
'6:00.906',-0.210,0.050
'6:00.908',-0.215,0.045
'6:00.911',-0.225,0.065
'6:00.914',-0.210,0.080
'6:00.917',-0.210,0.095
'6:00.919',-0.225,0.075
'6:00.922',-0.235,0.075
'6:00.925',-0.255,0.070
'6:00.928',-0.250,0.095
'6:00.931',-0.250,0.095
'6:00.933',-0.240,0.110
'6:00.936',-0.240,0.090
'6:00.939',-0.245,0.075
'6:00.942',-0.235,0.055
'6:00.944',-0.230,0.055
'6:00.947',-0.215,0.060
'6:00.950',-0.185,0.050
'6:00.953',-0.200,0.050
'6:00.956',-0.205,0.030
'6:00.958',-0.210,0.025
'6:00.961',-0.210,0.025
'6:00.964',-0.195,0.030
'6:00.967',-0.195,0.030
'6:00.969',-0.185,0.035
'6:00.972',-0.195,0.020
'6:00.975',-0.195,0.020
'6:00.978',-0.190,0.020
'6:00.981',-0.185,0.040
'6:00.983',-0.170,0.050
'6:00.986',-0.155,0.040
'6:00.989',-0.175,0.025
'6:00.992',-0.185,0.025
'6:00.994',-0.175,0.035
'6:00.997',-0.175,0.055
'6:01.000',-0.160,0.045
'6:01.003',-0.175,0.035
'6:01.006',-0.160,0.035
'6:01.008',-0.185,0.040
'6:01.011',-0.170,0.045
'6:01.014',-0.170,0.045
'6:01.017',-0.165,0.060
'6:01.019',-0.170,0.045
'6:01.022',-0.185,0.040
'6:01.025',-0.190,0.025
'6:01.028',-0.200,0.035
'6:01.031',-0.200,0.045
'6:01.033',-0.190,0.050
'6:01.036',-0.185,0.025
'6:01.039',-0.195,0.020
'6:01.042',-0.205,0.025
'6:01.044',-0.205,0.035
'6:01.047',-0.195,0.040
'6:01.050',-0.185,0.060
'6:01.053',-0.195,0.055
'6:01.056',-0.205,0.040
'6:01.058',-0.225,0.030
'6:01.061',-0.225,0.055
'6:01.064',-0.225,0.060
'6:01.067',-0.220,0.060
'6:01.069',-0.225,0.055
'6:01.072',-0.245,0.060
'6:01.075',-0.260,0.040
'6:01.078',-0.260,0.035
'6:01.081',-0.235,0.045
'6:01.083',-0.200,0.035
'6:01.086',-0.190,0.025
'6:01.089',-0.190,0.005
'6:01.092',-0.200,0.015
'6:01.094',-0.175,0.030
'6:01.097',-0.175,0.040
'6:01.100',-0.155,0.040
'6:01.103',-0.155,0.040
'6:01.106',-0.165,0.020
'6:01.108',-0.155,0.020
'6:01.111',-0.160,0.030
'6:01.114',-0.155,0.035
'6:01.117',-0.155,0.040
'6:01.119',-0.145,0.035
'6:01.122',-0.130,0.000
'6:01.125',-0.070,-0.010
'6:01.128',0.035,-0.035
'6:01.131',0.170,-0.055
'6:01.133',0.305,-0.075
'6:01.136',0.425,-0.120
'6:01.139',0.525,-0.175
'6:01.142',0.650,-0.190
'6:01.144',0.785,-0.185
'6:01.147',0.905,-0.215
'6:01.150',0.985,-0.280
'6:01.153',1.005,-0.330
'6:01.156',0.960,-0.330
'6:01.158',0.885,-0.335
'6:01.161',0.800,-0.285
'6:01.164',0.675,-0.220
'6:01.167',0.470,-0.165
'6:01.169',0.215,-0.125
'6:01.172',0.010,-0.105
'6:01.175',-0.095,-0.075
'6:01.178',-0.120,-0.025
'6:01.181',-0.160,0.005
'6:01.183',-0.205,0.015
