'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'17:00.000',1.135,-1.860
'17:00.003',1.495,-1.865
'17:00.006',1.715,-1.855
'17:00.008',1.725,-1.810
'17:00.011',1.540,-1.755
'17:00.014',1.200,-1.705
'17:00.017',0.785,-1.630
'17:00.019',0.310,-1.540
'17:00.022',-0.150,-1.370
'17:00.025',-0.585,-1.135
'17:00.028',-0.955,-0.885
'17:00.031',-1.300,-0.675
'17:00.033',-1.570,-0.535
'17:00.036',-1.745,-0.460
'17:00.039',-1.790,-0.380
'17:00.042',-1.760,-0.330
'17:00.044',-1.650,-0.290
'17:00.047',-1.505,-0.245
'17:00.050',-1.400,-0.205
'17:00.053',-1.295,-0.165
'17:00.056',-1.255,-0.150
'17:00.058',-1.240,-0.120
'17:00.061',-1.260,-0.100
'17:00.064',-1.290,-0.115
'17:00.067',-1.315,-0.110
'17:00.069',-1.335,-0.105
'17:00.072',-1.340,-0.120
'17:00.075',-1.340,-0.095
'17:00.078',-1.360,-0.100
'17:00.081',-1.360,-0.085
'17:00.083',-1.360,-0.065
'17:00.086',-1.365,-0.045
'17:00.089',-1.360,-0.040
'17:00.092',-1.370,-0.035
'17:00.094',-1.375,-0.020
'17:00.097',-1.390,-0.010
'17:00.100',-1.410,-0.005
'17:00.103',-1.415,-0.005
'17:00.106',-1.425,0.015
'17:00.108',-1.435,0.015
'17:00.111',-1.430,0.030
'17:00.114',-1.430,0.025
'17:00.117',-1.420,0.055
'17:00.119',-1.390,0.065
'17:00.122',-1.390,0.075
'17:00.125',-1.380,0.085
'17:00.128',-1.385,0.090
'17:00.131',-1.390,0.085
'17:00.133',-1.400,0.095
'17:00.136',-1.400,0.095
'17:00.139',-1.395,0.110
'17:00.142',-1.375,0.125
'17:00.144',-1.355,0.125
'17:00.147',-1.340,0.165
'17:00.150',-1.325,0.185
'17:00.153',-1.315,0.210
'17:00.156',-1.305,0.215
'17:00.158',-1.280,0.215
'17:00.161',-1.260,0.235
'17:00.164',-1.235,0.235
'17:00.167',-1.220,0.245
'17:00.169',-1.205,0.250
'17:00.172',-1.190,0.255
'17:00.175',-1.180,0.280
'17:00.178',-1.150,0.285
'17:00.181',-1.110,0.300
'17:00.183',-1.075,0.315
'17:00.186',-1.035,0.310
'17:00.189',-1.000,0.320
'17:00.192',-0.965,0.335
'17:00.194',-0.930,0.330
'17:00.197',-0.915,0.340
'17:00.200',-0.905,0.350
'17:00.203',-0.875,0.330
'17:00.206',-0.840,0.335
'17:00.208',-0.805,0.325
'17:00.211',-0.755,0.335
'17:00.214',-0.700,0.340
'17:00.217',-0.670,0.330
'17:00.219',-0.635,0.345
'17:00.222',-0.600,0.355
'17:00.225',-0.565,0.350
'17:00.228',-0.530,0.325
'17:00.231',-0.495,0.315
'17:00.233',-0.450,0.285
'17:00.236',-0.420,0.275
'17:00.239',-0.395,0.260
'17:00.242',-0.375,0.260
'17:00.244',-0.355,0.250
'17:00.247',-0.345,0.255
'17:00.250',-0.315,0.245
'17:00.253',-0.295,0.240
'17:00.256',-0.250,0.215
'17:00.258',-0.215,0.190
'17:00.261',-0.185,0.170
'17:00.264',-0.160,0.155
'17:00.267',-0.150,0.120
'17:00.269',-0.165,0.110
'17:00.272',-0.165,0.105
'17:00.275',-0.170,0.110
'17:00.278',-0.165,0.100
'17:00.281',-0.160,0.100
'17:00.283',-0.150,0.085
'17:00.286',-0.150,0.080
'17:00.289',-0.150,0.065
'17:00.292',-0.170,0.045
'17:00.294',-0.200,0.040
'17:00.297',-0.215,0.030
'17:00.300',-0.245,0.035
'17:00.303',-0.275,0.035
'17:00.306',-0.290,0.035
'17:00.308',-0.310,0.015
'17:00.311',-0.330,0.015
'17:00.314',-0.345,0.015
'17:00.317',-0.370,0.025
'17:00.319',-0.400,0.030
'17:00.322',-0.440,0.055
'17:00.325',-0.465,0.070
'17:00.328',-0.480,0.085
'17:00.331',-0.510,0.095
'17:00.333',-0.530,0.100
'17:00.336',-0.565,0.090
'17:00.339',-0.615,0.065
'17:00.342',-0.645,0.070
'17:00.344',-0.685,0.080
'17:00.347',-0.710,0.100
'17:00.350',-0.720,0.135
'17:00.353',-0.745,0.160
'17:00.356',-0.760,0.175
'17:00.358',-0.770,0.175
'17:00.361',-0.775,0.175
'17:00.364',-0.810,0.175
'17:00.367',-0.825,0.165
'17:00.369',-0.835,0.175
'17:00.372',-0.850,0.185
'17:00.375',-0.845,0.200
'17:00.378',-0.830,0.230
'17:00.381',-0.820,0.245
'17:00.383',-0.815,0.275
'17:00.386',-0.815,0.295
'17:00.389',-0.845,0.315
'17:00.392',-0.840,0.335
'17:00.394',-0.850,0.365
'17:00.397',-0.860,0.385
'17:00.400',-0.860,0.415
'17:00.403',-0.855,0.420
'17:00.406',-0.835,0.400
